Timestamp                       Thread     Type        Activity             PID    
2017-08-24 12:33:11.000000+1200 0x0        Timesync    0x0                  0      === system boot: 7D085672-0B36-4FAE-896D-AAC9F4D0C349
2017-08-24 12:33:11.000044+1200 0x0        Default     0x0                  0      kernel: PMAP: PCID enabled
2017-08-24 12:33:11.000046+1200 0x0        Default     0x0                  0      kernel: PMAP: Supervisor Mode Execute Protection enabled
2017-08-24 12:33:11.002120+1200 0x0        Default     0x0                  0      kernel: Darwin Kernel Version 16.7.0: Thu Jun 15 17:36:27 PDT 2017; root:xnu-3789.70.16~2/RELEASE_X86_64
2017-08-24 12:33:11.080048+1200 0x0        Default     0x0                  0      kernel: vm_page_bootstrap: 3418995 free pages and 234637 wired pages
2017-08-24 12:33:11.099936+1200 0x0        Default     0x0                  0      kernel: kext submap [0x<private> - 0x<private>], kernel text [0x<private> - 0x<private>]
2017-08-24 12:33:11.099941+1200 0x0        Default     0x0                  0      kernel: zone leak detection enabled
2017-08-24 12:33:11.099999+1200 0x0        Default     0x0                  0      kernel: "vm_compressor_mode" is 4
2017-08-24 12:33:11.100050+1200 0x0        Default     0x0                  0      kernel: multiq scheduler config: deep-drain 0, ceiling 47, depth limit 4, band limit 127, sanity check 0
2017-08-24 12:33:11.100055+1200 0x0        Default     0x0                  0      kernel: standard timeslicing quantum is 10000 us
2017-08-24 12:33:11.100056+1200 0x0        Default     0x0                  0      kernel: standard background quantum is 2500 us
2017-08-24 12:33:11.100089+1200 0x0        Default     0x0                  0      kernel: WQ[wql_init]: init linktable with max:262144 elements (8388608 bytes)
2017-08-24 12:33:11.100100+1200 0x0        Default     0x0                  0      kernel: WQ[wqp_init]: init prepost table with max:262144 elements (8388608 bytes)
2017-08-24 12:33:11.100129+1200 0x0        Default     0x0                  0      kernel: mig_table_max_displ = 1
2017-08-24 12:33:11.184379+1200 0x0        Default     0x0                  0      kernel: TSC Deadline Timer supported and enabled
2017-08-24 12:33:11.184573+1200 0x65       Default     0x0                  0      kernel: kdp_core zlib memory 0x7000
2017-08-24 12:33:11.336814+1200 0x65       Default     0x0                  0      kernel: [33m[4mKernel kext log filter 0xffff per kextlog boot arg.[0m
2017-08-24 12:33:11.337583+1200 0x65       Default     0x0                  0      kernel: [33mKext system initialized.[0m
2017-08-24 12:33:11.338920+1200 0x65       Default     0x0                  0      kernel: [36mKext __kernel__ registered class OSMetaClass.[0m
2017-08-24 12:33:11.340117+1200 0x65       Default     0x0                  0      kernel: [36mKext __kernel__ registered class OSObject.[0m
2017-08-24 12:33:11.341293+1200 0x65       Default     0x0                  0      kernel: [36mKext __kernel__ registered class OSArray.[0m
2017-08-24 12:33:11.342519+1200 0x65       Default     0x0                  0      kernel: [36mKext __kernel__ registered class OSBoolean.[0m
2017-08-24 12:33:11.343820+1200 0x65       Default     0x0                  0      kernel: [36mKext __kernel__ registered class OSCollection.[0m
2017-08-24 12:33:11.345312+1200 0x65       Default     0x0                  0      kernel: [36mKext __kernel__ registered class OSCollectionIterator.[0m
2017-08-24 12:33:11.346463+1200 0x65       Default     0x0                  0      kernel: [36mKext __kernel__ registered class OSData.[0m
2017-08-24 12:33:11.347761+1200 0x65       Default     0x0                  0      kernel: [36mKext __kernel__ registered class OSDictionary.[0m
2017-08-24 12:33:11.349010+1200 0x65       Default     0x0                  0      kernel: [36mKext __kernel__ registered class OSIterator.[0m
2017-08-24 12:33:11.350162+1200 0x65       Default     0x0                  0      kernel: [36mKext __kernel__ registered class OSKext.[0m
